20.7750666741,-29.5540968848,MK1
20.783289892,-29.5598358091,MK2
20.7913590197,-29.5662697625,MK3
20.7896839228,-29.575843633,MK4
20.7808608481,-29.5848466033,MK5
20.7773622554,-29.5759197374,MK6
20.7707147482,-29.5700133268,MK7
20.7879613813,-29.5450661605,MK8
20.7988476213,-29.5481291422,MK9
20.7456639358,-29.6037960384,MK10
20.748283671,-29.6126627862,MK11
20.7582680875,-29.6157055642,MK12
20.7551938945,-29.6244570843,MK13
20.7655414908,-29.6244638458,MK14
20.7707615917,-29.6328185278,MK15
20.7602440679,-29.632887377,MK16
20.8189931222,-29.6385156231,MK17
20.8537150132,-29.6197279688,MK18
20.863847375,-29.6232966258,MK19
20.865843219,-29.6327850972,MK20
20.8578446518,-29.6388669815,MK21
20.8561787386,-29.6504518628,MK22
20.8750068845,-29.6390102633,MK23
20.8828390762,-29.6448730254,MK24
20.8850077471,-29.653487909,MK25
20.8880933953,-29.6627544204,MK26
20.8250153325,-29.5990379554,MK27
20.8150653992,-29.5983434615,MK28
20.8234562528,-29.6075596377,MK29
20.8316536842,-29.6131778547,MK30
20.8219663283,-29.6195712329,MK31
20.8141903776,-29.6139157989,MK32
20.840338925,-29.6272819441,MK33
20.8398545257,-29.6343876502,MK34
20.8376668751,-29.6418741572,MK35
20.8369156644,-29.6485868081,MK36
20.8204776159,-29.629187721,MK37
20.9007116831,-29.6506347392,MK38
20.897662439,-29.6412044285,MK39
20.8925811542,-29.6334687937,MK40
20.8851336239,-29.6269863071,MK41
20.8793673967,-29.6163885774,MK42
20.9128402449,-29.6382400908,MK43
20.9082731219,-29.6295462292,MK44
20.9024908935,-29.6219313673,MK45
20.9020895808,-29.611861819,MK46
20.8937804647,-29.6169649417,MK47
20.8872837522,-29.609455805,MK48
20.8824095843,-29.6018024859,MK49
20.9184345172,-29.6266781745,MK50
20.8782078664,-29.5943478842,MK51
20.8891857285,-29.5933064735,MK52
20.8950927211,-29.6003440088,MK53
20.9055589408,-29.6016158916,MK54
20.8516015759,-29.6109118963,MK55
20.841932807,-29.6085174661,MK56
20.8187875929,-29.6471892706,MK57
20.8019935245,-29.5676324291,MK58
20.8116620219,-29.5720662368,MK59
20.809076962,-29.5604849511,MK60
20.7990019908,-29.5573872557,MK61
20.7432629672,-29.58080498,MK62
20.7580092284,-29.5757724725,MK63
20.7560770835,-29.6053283672,MK64
20.7421993497,-29.5945611618,MK65
20.7531029882,-29.5955032542,MK66
20.7918990888,-29.5862083823,MK67
20.8030842322,-29.5871067577,MK68
20.8348337539,-29.6013867207,MK69
20.781338191,-29.6323679639,MK70
20.8305958677,-29.6234338412,MK71
20.8453278142,-29.6008929187,MK72
20.8747095311,-29.6250775351,MK73
20.9130132986,-29.6186651183,MK74
20.9179778666,-29.6100504572,MK75
20.902938015,-29.5939046078,MK76
20.9126266663,-29.5910707299,MK77
